method n p rho rep time mse
0 1000 100 0.9 1 0.179 0.0654266707334091
1 1000 100 0.9 1 0.0219999999999998 0.0654266707334091
2 1000 100 0.9 1 0.00900000000000034 0.234594677006071
3 1000 100 0.9 1 0.0169999999999999 0.234594930860184
0 1000 100 0.9 2 0.195 0.0664574974062685
1 1000 100 0.9 2 0.0220000000000002 0.0664574974062666
2 1000 100 0.9 2 0.00800000000000001 0.234596358488604
3 1000 100 0.9 2 0.016 0.23459665840104
0 1000 100 0.9 3 0.181 0.0533619480090339
1 1000 100 0.9 3 0.0230000000000006 0.055220232983771
2 1000 100 0.9 3 0.00999999999999979 0.234584366925062
3 1000 100 0.9 3 0.016 0.234584657297846
