method n p rho rep time mse
0 10000 100 0.5 1 0.755999999999999 0.0320061964448033
1 10000 100 0.5 1 0.149 0.0320061964448034
2 10000 100 0.5 1 0.193 0.088851728978191
3 10000 100 0.5 1 0.313 0.0621541527046634
0 10000 100 0.5 2 0.789000000000001 0.0286099656562061
1 10000 100 0.5 2 0.159 0.0286099656562059
2 10000 100 0.5 2 0.2 0.077437336922497
3 10000 100 0.5 2 0.316 0.0512874196799928
0 10000 100 0.5 3 0.901999999999999 0.0309818779754958
1 10000 100 0.5 3 0.218999999999999 0.0309818779754951
2 10000 100 0.5 3 0.15 0.0793893898599621
3 10000 100 0.5 3 0.246 0.0523333340267155
