method n p rho rep time mse
0 1000 20000 0.5 1 3.323 0.0066654045747673
1 1000 20000 0.5 1 31.456 0.0066654045747674
2 1000 20000 0.5 1 1.336 0.0165801233477175
3 1000 20000 0.5 1 1.546 0.0164380488371065
0 1000 20000 0.5 2 3.378 0.00668985383710803
1 1000 20000 0.5 2 32.311 0.00668985383710813
2 1000 20000 0.5 2 1.312 0.0164802714204726
3 1000 20000 0.5 2 1.548 0.0164394229259135
0 1000 20000 0.5 3 3.36 0.00696137832836795
1 1000 20000 0.5 3 31.716 0.00696137832836803
2 1000 20000 0.5 3 1.30600000000001 0.0164983477444565
3 1000 20000 0.5 3 1.52900000000001 0.0164382134179774
