method n p rho rep time mse
0 10000 1000 0.9 1 13.604 0.0155864841183557
1 10000 1000 0.9 1 15.131 0.0155778418014738
2 10000 1000 0.9 1 0.616999999999997 0.611204127993417
3 10000 1000 0.9 1 0.866 0.0420262324645624
0 10000 1000 0.9 2 14.266 0.0158754304124147
1 10000 1000 0.9 2 13.394 0.0158116767335329
2 10000 1000 0.9 2 1.062 0.415978592678487
3 10000 1000 0.9 2 1.453 0.0418667722292152
0 10000 1000 0.9 3 13.178 0.0161973212096153
1 10000 1000 0.9 3 11.311 0.0161420517904043
2 10000 1000 0.9 3 0.608999999999995 0.402502108457828
3 10000 1000 0.9 3 0.832999999999998 0.0415451995292535
