method n p rho rep time mse
0 1e+05 100 0.9 1 19.001 0.053964227361616
1 1e+05 100 0.9 1 1.604 0.0539642273616271
2 1e+05 100 0.9 1 1.397 0.0329997450403465
3 1e+05 100 0.9 1 2.33 0.0230402320570117
0 1e+05 100 0.9 2 19.358 0.0524422476962355
1 1e+05 100 0.9 2 1.602 0.050510084041917
2 1e+05 100 0.9 2 1.411 0.0302959675200257
3 1e+05 100 0.9 2 2.33300000000001 0.0208128597809969
0 1e+05 100 0.9 3 18.673 0.0526453996114896
1 1e+05 100 0.9 3 1.59899999999999 0.0505645895530111
2 1e+05 100 0.9 3 1.41 0.0303535966154122
3 1e+05 100 0.9 3 2.328 0.0218599876013699
