method n p rho rep time mse
0 1000 50000 0.2 1 15.877 0.00451256585201683
1 1000 50000 0.2 1 224.009 0.00451256585201675
2 1000 50000 0.2 1 11.696 0.0104354054774641
3 1000 50000 0.2 1 13.448 0.0104401408069584
0 1000 50000 0.2 2 20.939 0.00424456779915644
1 1000 50000 0.2 2 187.06 0.00424456779915647
2 1000 50000 0.2 2 8.53100000000001 0.0104367094761326
3 1000 50000 0.2 2 9.94 0.010440960601028
0 1000 50000 0.2 3 14.409 0.00413251719955855
1 1000 50000 0.2 3 251.299 0.00413251719955858
2 1000 50000 0.2 3 14.63 0.0104359791081014
3 1000 50000 0.2 3 9.59100000000001 0.0104395061584503
