method n p rho rep time mse
0 1000 20000 0.9 1 9.183 0.0144308539166575
1 1000 20000 0.9 1 57.567 0.0144308539166575
2 1000 20000 0.9 1 2.91199999999999 0.0166084096993288
3 1000 20000 0.9 1 3.419 0.0165646866740803
0 1000 20000 0.9 2 9.383 0.0138052461246932
1 1000 20000 0.9 2 54.345 0.0138052461246932
2 1000 20000 0.9 2 2.88500000000002 0.0166091967002178
3 1000 20000 0.9 2 3.42699999999999 0.0165614131119839
0 1000 20000 0.9 3 9.45600000000002 0.0140415283685686
1 1000 20000 0.9 3 55.427 0.0140415283685687
2 1000 20000 0.9 3 2.89699999999999 0.0166577937795276
3 1000 20000 0.9 3 3.423 0.016563475827623
