method n p rho rep time mse
0 1e+05 100 0.2 1 5.103 0.0260454564646419
1 1e+05 100 0.2 1 1.592 0.0260454564646415
2 1e+05 100 0.2 1 1.393 0.0312534228890027
3 1e+05 100 0.2 1 2.323 0.0292089513487342
0 1e+05 100 0.2 2 4.972 0.0267132444787049
1 1e+05 100 0.2 2 1.592 0.0267132444787044
2 1e+05 100 0.2 2 1.395 0.0271753095597081
3 1e+05 100 0.2 2 2.322 0.0253840555875367
0 1e+05 100 0.2 3 4.929 0.0262989096705955
1 1e+05 100 0.2 3 1.593 0.026298909670596
2 1e+05 100 0.2 3 1.392 0.0297432871969214
3 1e+05 100 0.2 3 2.321 0.0279002140174417
