method n p rho rep time mse
0 1000 5000 0.5 1 2.522 0.0133634338339409
1 1000 5000 0.5 1 21.226 0.0133634338339409
2 1000 5000 0.5 1 0.562000000000001 0.032188480778428
3 1000 5000 0.5 1 0.718 0.0319677146081848
0 1000 5000 0.5 2 2.5 0.0140354211659505
1 1000 5000 0.5 2 22.727 0.0140354211659504
2 1000 5000 0.5 2 0.539000000000001 0.032106979687418
3 1000 5000 0.5 2 0.765999999999998 0.0320247110553847
0 1000 5000 0.5 3 2.648 0.0133891032333582
1 1000 5000 0.5 3 21.619 0.0133891032333583
2 1000 5000 0.5 3 0.570999999999998 0.0322023655727814
3 1000 5000 0.5 3 0.694000000000003 0.0319800417537779
