method n p rho rep time mse
0 10000 100 0.2 1 0.651999999999999 0.027116589767731
1 10000 100 0.2 1 0.167 0.027116589767731
2 10000 100 0.2 1 0.191 0.0763905390772571
3 10000 100 0.2 1 0.302 0.0566085163925859
0 10000 100 0.2 2 0.534 0.0294754431875716
1 10000 100 0.2 2 0.175 0.0294754431875716
2 10000 100 0.2 2 0.191 0.073934664711616
3 10000 100 0.2 2 0.316000000000001 0.0560086600685777
0 10000 100 0.2 3 0.742000000000001 0.026751651885091
1 10000 100 0.2 3 0.220000000000001 0.0267516518850913
2 10000 100 0.2 3 0.15 0.0743061622124037
3 10000 100 0.2 3 0.242999999999999 0.0565383135183718
