method n p rho rep time mse
0 5000 20000 0.2 1 25.163 0.00507189974481988
1 5000 20000 0.2 1 640.741 0.00507189974481989
2 5000 20000 0.2 1 5.851 0.0154064075187908
3 5000 20000 0.2 1 7.30100000000004 0.0154743751115186
0 5000 20000 0.2 2 27.25 0.00506388285993226
1 5000 20000 0.2 2 868.119 0.00506388285993224
2 5000 20000 0.2 2 7.77800000000002 0.015403210505173
3 5000 20000 0.2 2 9.98000000000002 0.0154728770181509
0 5000 20000 0.2 3 40.0650000000001 0.00512989134407157
1 5000 20000 0.2 3 875.111 0.00512989134407155
2 5000 20000 0.2 3 6.40900000000011 0.0154040425603028
3 5000 20000 0.2 3 8.55700000000024 0.0154787819675166
