method n p rho rep time mse
0 100 1000 0.2 1 0.0990000000000002 0.0677404441121158
1 100 1000 0.2 1 0.145 0.0677404441121162
2 100 1000 0.2 1 0.0620000000000003 0.0724738973209345
3 100 1000 0.2 1 0.0660000000000007 0.0725068599288996
0 100 1000 0.2 2 0.0860000000000003 0.0675291729919394
1 100 1000 0.2 2 0.168 0.0675291729919392
2 100 1000 0.2 2 0.0620000000000003 0.0724925617898413
3 100 1000 0.2 2 0.0649999999999995 0.0724850292804343
0 100 1000 0.2 3 0.0850000000000009 0.0692289172882226
1 100 1000 0.2 3 0.164 0.0692289172882225
2 100 1000 0.2 3 0.0620000000000003 0.0727061637601652
3 100 1000 0.2 3 0.0660000000000007 0.0725921228065303
