method n p rho rep time mse
0 1000 50000 0.1 1 16.056 0.00437647556553413
1 1000 50000 0.1 1 200.769 0.00437647556553415
2 1000 50000 0.1 1 5.785 0.0104369104320439
3 1000 50000 0.1 1 6.74300000000002 0.0104405435306518
0 1000 50000 0.1 2 17.226 0.00433379567369408
1 1000 50000 0.1 2 203.392 0.00433379567369412
2 1000 50000 0.1 2 5.471 0.0104363399993515
3 1000 50000 0.1 2 7.23399999999998 0.0104407766826386
0 1000 50000 0.1 3 16.873 0.00411939289917861
1 1000 50000 0.1 3 194.565 0.00411939289917856
2 1000 50000 0.1 3 5.73700000000008 0.0104384179633281
3 1000 50000 0.1 3 8.32499999999993 0.0104390573108448
