method n p rho rep time mse
0 1000 1000 0.2 1 1.953 0.0547543120813419
1 1000 1000 0.2 1 2.123 0.0547452305050558
2 1000 1000 0.2 1 0.0890000000000004 0.0561199411723658
3 1000 1000 0.2 1 0.113000000000001 0.0557327389626477
0 1000 1000 0.2 2 2.382 0.054548191497302
1 1000 1000 0.2 2 2.595 0.0545509982914124
2 1000 1000 0.2 2 0.0899999999999999 0.0557228860787762
3 1000 1000 0.2 2 0.112 0.0554712684071666
0 1000 1000 0.2 3 1.744 0.0561490345723406
1 1000 1000 0.2 3 2.04 0.0560600683668768
2 1000 1000 0.2 3 0.0900000000000034 0.0569928415294096
3 1000 1000 0.2 3 0.113 0.0559790091736073
