method n p rho rep time mse
0 5000 20000 0.95 1 29.344 0.0153733902312571
1 5000 20000 0.95 1 7.684 0.0153733902312571
2 5000 20000 0.95 1 3.02 0.0165235136607393
3 5000 20000 0.95 1 4.733 0.016541280799426
0 5000 20000 0.95 2 107.597 0.0153539967231142
1 5000 20000 0.95 2 8.511 0.0153539967231142
2 5000 20000 0.95 2 5.02700000000002 0.0165252977608505
3 5000 20000 0.95 2 5.39699999999999 0.0165435120492288
0 5000 20000 0.95 3 104.282 0.0153338184102878
1 5000 20000 0.95 3 13.243 0.0153338184102878
2 5000 20000 0.95 3 4.90300000000002 0.016528975459546
3 5000 20000 0.95 3 7.72500000000002 0.0165442834294797
