method n p rho rep time mse
0 100 1000 0.95 1 0.303 0.0714322536140308
1 100 1000 0.95 1 0.42 0.0714322536140305
2 100 1000 0.95 1 0.0620000000000003 0.0741024046475546
3 100 1000 0.95 1 0.0650000000000004 0.0740701636755316
0 100 1000 0.95 2 0.196000000000001 0.0697318073320292
1 100 1000 0.95 2 0.378 0.0697318073320291
2 100 1000 0.95 2 0.0609999999999999 0.0741111291241447
3 100 1000 0.95 2 0.0650000000000004 0.0740860028756086
0 100 1000 0.95 3 0.279 0.0700696750920292
1 100 1000 0.95 3 0.546999999999999 0.0700696750920291
2 100 1000 0.95 3 0.0609999999999999 0.0742384233051479
3 100 1000 0.95 3 0.0640000000000001 0.0740637798452737
